"Metabolite","Beta","SE","P_value","Bonferroni_significant"
"Anhydroglucitol_1_5",-1.53357424522213,0.139813975647048,6.34479713490866e-21,"Y"
"Mannose",1.14464327733502,0.134310888668602,1.54422856375589e-14,"Y"
"Citrulline",-1.11605959397251,0.15030290737187,7.84553750835229e-12,"Y"
"Enyl_palmitoyl_GPC",-0.978211086267932,0.14540969455896,3.41272595199302e-10,"Y"
"Arachidonoylcholine",-0.98405568403359,0.153780035037565,1.88670597390434e-09,"Y"
"Palmitoylcholine",-1.04211512649481,0.163827957379085,2.29413422128018e-09,"Y"
"Gluconate",0.88406185409343,0.1554019296652,6.4980548382478e-08,"Y"
"Glucose",0.786217643891358,0.141286536264529,1.17684528987816e-07,"Y"
"Oleoylcholine",-0.779193868591184,0.142035442621783,1.70848886212255e-07,"Y"
"S_adenosylhomocysteine",0.770689847523198,0.151321476098044,1.04304378555746e-06,"Y"
"Arabonate_xylonate",0.810806293846905,0.160768669514924,1.30365629214299e-06,"Y"
"Bromotryptophan_5",-0.769284231120777,0.153288709541084,1.4560445417412e-06,"Y"
"Leucylalanine",-0.740858322857869,0.148370930027523,1.62905462343586e-06,"Y"
"Hydroxydecanoate_3",0.819321085352912,0.166094016361578,2.1279460751688e-06,"Y"
"Sphingomyelin_d18_1_24_1",-0.731971235639527,0.152352621662442,3.72846886456592e-06,"Y"
"Ribonate",0.702407859823661,0.148112267790904,4.87190622136882e-06,"Y"
"Dihomo_linolenoyl_choline",-0.694762731178782,0.14906044542382,6.8969733787516e-06,"Y"
"Hydroxyoctanoate_3",0.732075237738552,0.157200851761413,7.01511088054558e-06,"Y"
"Enyl_palmitoyl_GPE",-0.773657859715403,0.166145251518261,7.02782019844689e-06,"Y"
"Enyl_oleoyl_GPE",-0.686279210411277,0.150165949387286,1.01128317855134e-05,"Y"
"Enyl_palmitoyl_palmitoleoyl_GPC",-0.673399174658865,0.151115833517886,1.62298611956951e-05,"Y"
"Methylguanine_7",-0.659565112542411,0.148932035175639,1.81736781464573e-05,"Y"
"Stearoyl_GPI",-0.668143942372164,0.15376404193914,2.55186617071467e-05,"Y"
"N_acetylmethionine",-0.683305823013464,0.159130161517848,3.13694057056972e-05,"Y"
"Lactosyl_N_palmitoyl_sphingosine",-0.646392112180622,0.154548278959023,4.88721177061737e-05,"Y"
"Fibrinogen_cleavage_peptide",-0.706057104746066,0.170541762078813,5.77143201556569e-05,"Y"
"Inosine",-0.625945636908117,0.153464305892261,7.32587582297249e-05,"Y"
"Glutamate",0.627027034627877,0.156201347011434,9.39109726694456e-05,"Y"
"Hydroxybutyrate_3",0.672124313640208,0.16930204883085,0.00011116110739404,"Y"
"Malate",0.641267847523462,0.162071366993737,0.000116897166663103,"Y"
"Guanidinoacetate",-0.657387679134364,0.166790305676322,0.000123859145733035,"Y"
"Sphingomyelin_d18_1_22_1",-0.563538308180623,0.14607131639788,0.000169327191397207,"Y"
"Sphingomyelin_d18_1_20_1",-0.610939147089865,0.159301537230349,0.000184315791792058,"Y"
"Docosahexaenoylcholine",-0.62436236924429,0.167695926459926,0.000277765585214342,"Y"
"N_acetyltaurine",-0.59119464732554,0.161430008004,0.000345985305659907,"Y"
"Linoleoyl_GPC",-0.569134508964549,0.157610362000689,0.000415260666232413,"N"
"Enyl_palmitoyl_oleoyl_GPC",-0.583970021836664,0.162955442447227,0.000457511103002821,"N"
"Enyl_palmitoyl_palmitoyl_GPC",-0.558974629001221,0.159303305578068,0.000594280875112816,"N"
"Stearoyl_GPC",-0.500773720056845,0.144519777351679,0.000691374310614742,"N"
"Glutamine",-0.514002144997084,0.150244664766834,0.000803773321549046,"N"
"Sphingomyelin_d18_2_23_0",-0.594512263815389,0.173787609878268,0.000804288504906868,"N"
"Hydroxybutyrate_hydroxyisobutyrate_2",0.554092700114061,0.168664298681941,0.00126881532742395,"N"
"Sphingomyelin_d18_2_24_1",-0.529273460915032,0.162652652235879,0.00140615159344735,"N"
"Fructose",0.50848185668458,0.158606055070084,0.00164531491730922,"N"
"Sphingomyelin_d18_2_14_0",-0.542420343802078,0.171572325295032,0.00189976307411123,"N"
"Enyl_palmitoyl_linoleoyl_GPC",-0.478307394121639,0.151825415531608,0.00196866387889588,"N"
"Palmitoyl_oleoyl_GPE",0.553360180851741,0.184999392034052,0.00325002721957021,"N"
"Erythronate",0.51370831591702,0.175815460570744,0.00401800610635578,"N"
"Aspartate",0.457379947836589,0.159781096051948,0.0048041496583467,"N"
"Gamma_glutamylalanine",-0.462714130188791,0.163015209192984,0.00516143107121756,"N"
"Tyrosine",-0.451023947668443,0.159067654498875,0.00520839706246477,"N"
"Hydroxymyristate_3",0.405935784889207,0.14759214979161,0.00668536793586913,"N"
"Palmitoyl_linoleoyl_glycerol",0.457370089681798,0.166860704231187,0.0068692667457529,"N"
"Cys_gly_oxidized",-0.397653444357971,0.147074250996607,0.00764796999594506,"N"
"Deoxyuridine_2",-0.469263194026089,0.176413455961155,0.00866323757668566,"N"
"Dihydroorotate",-0.417504674957135,0.159750823383053,0.00987581280714282,"N"
"Sphingosine",0.412118031426314,0.163979121947024,0.0130194667876314,"N"
"Oxalate",-0.402642639119685,0.164185902524391,0.0153393448294817,"N"
"Pipecolate",0.382390822960236,0.156680795984389,0.0158287653548116,"N"
"Cysteine_glutathione_disulfide",-0.365598213837642,0.150530983156666,0.016334716961683,"N"
"Hydroxylaurate_3",0.395451350102054,0.1638605220465,0.0170129822905024,"N"
"Cytidine",-0.398744537025248,0.16544135887331,0.0171551244516394,"N"
"Pyroglutamine",-0.40945506395934,0.17034003092667,0.017448350717775,"N"
"GPC",-0.405034633364315,0.173626648682692,0.0209880239826082,"N"
"Lysine",-0.358662884088628,0.167284626607719,0.0336422163667922,"N"
"Distearoyl_GPC",-0.317589436022204,0.156755983796974,0.0445361371205718,"N"
"Sphingomyelin_d18_2_16_0",-0.321694948760221,0.169354313644211,0.0594132467939187,"N"
"Aminoisobutyrate_3",-0.331447243705144,0.17670536592219,0.062639044905968,"N"
"Tryptophan",0.326748611778756,0.17479073114696,0.0635207463303284,"N"
"Palmitoyl_dihydrosphingomyelin",-0.305256335413629,0.167602547255849,0.0705521281571349,"N"
"Cysteinylglycine",0.299392461766611,0.168164355923091,0.077042009198279,"N"
"Taurine",-0.238611050339798,0.144529918292831,0.100841821989944,"N"
"Asparagine",0.251036102958462,0.155466928792198,0.108472147046203,"N"
"Palmitoyl_sphingomyelin",-0.271198262968711,0.169638233682003,0.111994713963424,"N"
"Stearate",0.264654209629438,0.171033279892062,0.123877844152998,"N"
"Threonine",0.247603604760399,0.160055439101733,0.123973722339397,"N"
"Oleate",0.238089568463943,0.157373720432297,0.132410981976571,"N"
"Palmitoyl_arachidonoyl_GPE",0.232222027900706,0.156048164929797,0.138812396577527,"N"
"Salicylate",-0.242104648652882,0.16667532597854,0.148436701386294,"N"
"Cholesterol",0.207510112162271,0.144008803295318,0.151681797118586,"N"
"Citrate",0.222734583467366,0.154996730852296,0.152792762096091,"N"
"Arginine",0.257190207647568,0.182280873973375,0.160328362673552,"N"
"Succinate",0.222533624851558,0.162535444286654,0.173002394000407,"N"
"Homocysteine",0.204156208211206,0.153663476584964,0.185999985903401,"N"
"Glycine",0.212228758695544,0.161509566976566,0.190841385466945,"N"
"Gamma_glutamylglutamate",-0.207012318434247,0.159702317216369,0.196884058843115,"N"
"Acetylcarnitine",-0.208277457277662,0.162731223065157,0.202561075473238,"N"
"Glycocholate",0.241163842850416,0.189093955596566,0.204151709180755,"N"
"Propionylcarnitine",0.198949457419817,0.174572186620425,0.256252862871257,"N"
"Carnitine",-0.173177013859439,0.171597399763188,0.314501347426601,"N"
"Hypoxanthine",-0.154480823016678,0.155290619725083,0.321442741898249,"N"
"Uric_acid",-0.162463121272154,0.167870674462223,0.33470839302945,"N"
"Adenosine",0.155932241529421,0.164236380498395,0.343925141502038,"N"
"Pyridoxal",0.15760436923379,0.178904713792503,0.379759474670219,"N"
"Alpha_tocopherol",-0.154376352562871,0.176088908006924,0.382053931153275,"N"
"Thiamine",-0.130052651514198,0.150076283843325,0.387557885062401,"N"
"Leucine",-0.133729846645022,0.160943061859619,0.407342849142954,"N"
"Ornithine",-0.108115759017009,0.142227567569309,0.448351883418654,"N"
"Proline",0.109792182075404,0.150844856192042,0.467841032470578,"N"
"Linoleate",0.122258266042097,0.17266067000465,0.479991908124239,"N"
"Caffeine",0.126734962048329,0.179314522034166,0.480802992676819,"N"
"Theobromine",-0.11439885701019,0.167936012327833,0.496792065724106,"N"
"Allantoin",-0.100955435399651,0.148927649948092,0.498890564576533,"N"
"Fumarate",0.087461260753549,0.139909929778489,0.532838547680089,"N"
"Alpha_ketoglutarate",0.104623264367177,0.179312209352293,0.56045333644462,"N"
"Taurocholate",0.0969670253409431,0.17221110095144,0.574227418306188,"N"
"Choline",0.0911980831175138,0.163389090981622,0.577563833905922,"N"
"Maltose",-0.084302260690073,0.154642290010623,0.586464383383124,"N"
"Pyruvate",0.0855420010213976,0.162942968203452,0.600371304420241,"N"
"Valine",0.0897333316171626,0.176620932867272,0.612160352614279,"N"
"Isoleucine",0.0838305016296309,0.168959478589158,0.62050958164246,"N"
"Alanine",-0.074627085062696,0.150468963713669,0.620646214711909,"N"
"Pantothenate",-0.0810460331094799,0.165230515370852,0.624494889324992,"N"
"Deoxycholate",0.0775118675588369,0.163000516252841,0.635100008480037,"N"
"Xanthosine",0.0768267513793564,0.178875421061951,0.668176678933806,"N"
"Myristate",0.0625738290847578,0.1542461595789,0.68555939606207,"N"
"Cholate",-0.065246402170354,0.163691705608108,0.690759781464828,"N"
"Cystine",0.0617940742955054,0.155182821039584,0.691047654358362,"N"
"Palmitate",-0.0619226132241742,0.156505769611581,0.692920198044989,"N"
"Paraxanthine",0.0650030410454836,0.169708194203566,0.702241038297663,"N"
"Uridine",0.064000003547429,0.169842651082739,0.70684036179454,"N"
"Eicosapentaenoate",-0.0577036321748177,0.154081157097996,0.708560111001198,"N"
"Histidine",0.0592405902984813,0.161633510797131,0.714499668112167,"N"
"Xylitol",0.0371281744387955,0.151263299714029,0.806440467431175,"N"
"Guanosine",0.033878312733619,0.157870579866752,0.830374183083526,"N"
"Palmitoleate",-0.0346641140364457,0.171777176267689,0.840348862202751,"N"
"Lactate",-0.0262500737762209,0.156471694610125,0.866996141298226,"N"
"Sorbitol",0.0238282200791854,0.15982372569754,0.881682376644407,"N"
"Hippurate",0.0250570698894322,0.17900247756992,0.888862240503176,"N"
"Ascorbate",0.0224117877251557,0.172643391143305,0.896886319353277,"N"
"Phenylalanine",0.0220055621293012,0.178278144046825,0.901928772991165,"N"
"Docosahexaenoate",0.018877663862682,0.179531884220268,0.916397763733687,"N"
"Arachidonate",-0.0164972145698413,0.161275187090605,0.918661263116593,"N"
"Serine",-0.0126343393837101,0.158737299297085,0.936667242677261,"N"
"Riboflavin",0.00938103069521914,0.173576376031129,0.956970787985013,"N"
"Nicotinamide",-0.000642928019418636,0.162236437772344,0.996843330968857,"N"
