"Feature","MeanDecreaseAccuracy","MeanDecreaseGini"
"Anhydroglucitol_1_5",11.2125482906424,3.91797427861759
"Mannose",10.1555921242205,3.71160082388527
"Citrulline",7.86160211567562,2.78944073419761
"Enyl_palmitoyl_GPC",7.48433205096894,2.0224312183915
"Palmitoylcholine",4.00492542053615,1.54954045241624
"Enyl_palmitoyl_palmitoyl_GPC",5.19774654588884,1.45230545978471
"Gluconate",5.17160508962041,1.42605050294944
"Glucose",5.48597431802179,1.18823399195692
"Arachidonoylcholine",2.97268937329613,1.08891545530296
"Sphingomyelin_d18_1_22_1",4.86350087940196,1.08485205252974
"Oleoylcholine",4.13824235799909,1.0690063189323
"Hydroxydecanoate_3",3.39485901643189,1.03490044591317
"Stearoyl_GPI",3.63348401767217,0.859089694611383
"Lysine",3.60835572026047,0.842747078499283
"Leucylalanine",2.29968017494247,0.788408930581031
"S_adenosylhomocysteine",2.33914775751932,0.783987935250833
"Arabonate_xylonate",2.55365911548072,0.770978192514138
"Hydroxyoctanoate_3",2.27696316444266,0.717681288705024
"Ribonate",2.9928276154458,0.7111755471086
"Lactosyl_N_palmitoyl_sphingosine",0.837276569473281,0.699335582049096
"Sphingomyelin_d18_1_20_1",1.3341626624089,0.676689551005605
"Fibrinogen_cleavage_peptide",3.86014509245159,0.661989182324751
"Bromotryptophan_5",3.56314875015241,0.656267834181002
"Hydroxybutyrate_3",2.75802286077154,0.653519425393036
"Enyl_palmitoyl_palmitoleoyl_GPC",2.45583648494529,0.648054989040652
"Gamma_glutamylalanine",2.22279226528085,0.577980513955704
"Stearoyl_GPC",2.30492537083935,0.570975896862204
"Guanidinoacetate",2.64469156729415,0.566335606548149
"Enyl_palmitoyl_GPE",1.51559783134976,0.563036039978449
"Oxalate",2.73122138647493,0.557588382353036
"Linoleoyl_GPC",2.50335275183103,0.539096572150784
"Dihomo_linolenoyl_choline",3.28084228847242,0.520779842975808
"Glutamate",1.98218666539931,0.510342916442183
"Sphingomyelin_d18_2_23_0",2.64305207288611,0.45807731140427
"Palmitoyl_oleoyl_GPE",0.227890563373319,0.448835000794048
"Enyl_oleoyl_GPE",2.35095346061447,0.418853393882203
"Inosine",1.31833872248099,0.417541668420551
"Methylguanine_7",1.11125764858405,0.404324410721449
"Glutamine",0.844288055447491,0.391202946617081
"Cytidine",2.23231521451106,0.381992005997635
"Palmitoyl_linoleoyl_glycerol",-0.286721195921856,0.379958916356473
"Sphingomyelin_d18_1_24_1",1.08165230302253,0.378549807199088
"Sphingomyelin_d18_2_24_1",2.09644418469931,0.372155988944823
"Cys_gly_oxidized",0.335162820537172,0.371304076160177
"N_acetylmethionine",2.11904417913817,0.367383133479923
"Aminoisobutyrate_3",1.2519180031029,0.347929122184153
"Docosahexaenoylcholine",2.64929848260175,0.340150865932727
"Threonine",1.57614690539588,0.338417737232993
"Hydroxylaurate_3",0.673772785698097,0.335738311975897
"Malate",1.31705965635722,0.323475923228652
"Hydroxybutyrate_hydroxyisobutyrate_2",2.03379762229839,0.309016659583271
"Aspartate",-0.854520359325491,0.301386449642432
"Enyl_palmitoyl_oleoyl_GPC",1.39731656143833,0.293966805952678
"Homocysteine",0.622653025763694,0.289205712056455
"Tyrosine",2.27154447380998,0.283144983740461
"Distearoyl_GPC",2.16043219837579,0.281888212312819
"Enyl_palmitoyl_linoleoyl_GPC",-0.463613251155785,0.279860134379471
"Pipecolate",1.35217082009673,0.262236488969156
"Arachidonate",0.707845568700866,0.251605389828944
"GPC",2.26375554348804,0.243189447285447
"Cysteinylglycine",0.376816482890587,0.240028009851167
"Isoleucine",0.0355461924655101,0.235733593223603
"Erythronate",0.550622827323761,0.233042564020411
"Dihydroorotate",1.10259981956594,0.229628831225804
"Salicylate",-1.05252871675719,0.226211076545561
"Palmitoyl_dihydrosphingomyelin",-1.07213584911114,0.224150681066244
"Acetylcarnitine",3.00990040207811,0.223113615517643
"Serine",0.578355335778413,0.216831675936727
"N_acetyltaurine",-0.546743486217136,0.214640216737329
"Palmitoyl_arachidonoyl_GPE",-0.804345024012782,0.207991974399504
"Hydroxymyristate_3",0.4496584667965,0.207462984979762
"Proline",-0.55004907957131,0.203211952596263
"Hippurate",2.0387368783552,0.202603462589811
"Cysteine_glutathione_disulfide",-1.76005408097941,0.199426290515862
"Cystine",0.764478204450508,0.197516108365817
"Sphingosine",0.481577912287707,0.190678148129865
"Palmitoleate",-0.485982966615481,0.190185348335694
"Pyroglutamine",1.01272274078668,0.187906127777413
"Carnitine",0.0971649985700923,0.187565310771284
"Taurocholate",-0.416195128609203,0.187148861706694
"Valine",-1.48040440700532,0.186734120953446
"Leucine",0.199623149404865,0.18617478387646
"Cholesterol",1.4410346232928,0.183163968522059
"Myristate",-1.62498284963706,0.18081239714357
"Fructose",-0.112782161661341,0.180279704535635
"Sphingomyelin_d18_2_16_0",-0.830015358640577,0.178665169140715
"Succinate",0.876040330636667,0.173818549672532
"Palmitate",-0.90365767695927,0.173267381565595
"Glycine",-0.117434041857474,0.16642146137163
"Propionylcarnitine",-0.182210259824685,0.163530464109842
"Pantothenate",-1.22569682848945,0.161584314409507
"Deoxycholate",1.57484587979055,0.161127854213472
"Palmitoyl_sphingomyelin",1.86570027742558,0.160859804983397
"Guanosine",1.159023962709,0.160761776935406
"Ascorbate",-0.739138425956801,0.155928724685667
"Alpha_tocopherol",-0.931468793103853,0.155350930370459
"Oleate",-0.331740865394256,0.148941115935564
"Arginine",-1.34469112448046,0.143332450463253
"Maltose",-0.544716124960135,0.141876434861912
"Gamma_glutamylglutamate",0.728030284053757,0.141869231918201
"PC2",-0.807890969377728,0.140608571938544
"Hypoxanthine",-0.518003253813865,0.139738826678014
"Sorbitol",0.316828067323908,0.136738608574735
"PC3",-0.662434694147902,0.134235813555844
"Xylitol",0.510142248226463,0.133454813781286
"Ornithine",-0.162904493799333,0.131273041653769
"Uric_acid",-0.322680258614232,0.129357101063
"Allantoin",-1.31935339148516,0.12543122078795
"Thiamine",0.44129573888022,0.124289428342269
"Fumarate",-0.944300738522466,0.122578320480658
"Choline",-0.804485356263395,0.120940363482067
"Taurine",-0.348277307835337,0.119012931521295
"Glycocholate",-0.512900283270212,0.11899790930319
"Linoleate",0.0921977372519931,0.11630110760395
"Tryptophan",1.76100945957659,0.115816892487508
"Uridine",-1.19682709710571,0.115439438362765
"Sphingomyelin_d18_2_14_0",1.1946573770864,0.114704412061225
"Docosahexaenoate",0.851930725339743,0.113601047387087
"Asparagine",-0.644396013850894,0.113236531109156
"Eicosapentaenoate",0.831149096933656,0.111644461594006
"Citrate",0.349429153435566,0.110445855819913
"Deoxyuridine_2",1.33974599982059,0.10904055503009
"Pyridoxal",-0.418206056088274,0.108966482099256
"Riboflavin",-0.798756680061956,0.108242157639941
"PC1",-0.864173838890713,0.107062625377028
"Alpha_ketoglutarate",-0.381786064821623,0.102228429450571
"Histidine",-0.925929079665137,0.101894076784528
"Lactate",0.734741694876483,0.100956554536234
"Xanthosine",-2.13632210339366,0.0993701133259519
"Paraxanthine",1.36578065692307,0.0977286342006721
"Alanine",-0.833306480589495,0.0918774056990273
"Stearate",1.29239926936991,0.090884966595329
"Caffeine",0.716050569661656,0.0866118023123097
"Cholate",0.481119568797803,0.0865010117250976
"Adenosine",0.655795590689606,0.0821401754784517
"Pyruvate",-0.379858211900046,0.0799228043103952
"Theobromine",2.10238522423717,0.073664868007385
"Nicotinamide",1.53488524090118,0.0698283277363369
"Phenylalanine",0.704816289925672,0.0609727018272421
"Sex",0.981325941009576,0.00833333333333333
